raw_timestamp,relative_to_unix_epoch_timestamp,RightFoot_pos_x,RightFoot_pos_y,RightFoot_pos_z,RightFoot_rot_x,RightFoot_rot_y,RightFoot_rot_z,RightFoot_rot_w,LeftFoot_pos_x,LeftFoot_pos_y,LeftFoot_pos_z,LeftFoot_rot_x,LeftFoot_rot_y,LeftFoot_rot_z,LeftFoot_rot_w,Waist_pos_x,Waist_pos_y,Waist_pos_z,Waist_rot_x,Waist_rot_y,Waist_rot_z,Waist_rot_w,LeftHand_pos_x,LeftHand_pos_y,LeftHand_pos_z,LeftHand_rot_x,LeftHand_rot_y,LeftHand_rot_z,LeftHand_rot_w,RightHand_pos_x,RightHand_pos_y,RightHand_pos_z,RightHand_rot_x,RightHand_rot_y,RightHand_rot_z,RightHand_rot_w,LeftHand_trigger_pressed,LeftHand_grip_pressed,LeftHand_grabbed_name,RightHand_trigger_pressed,RightHand_grip_pressed,RightHand_grabbed_name,model_name
1768994577590,92.24934,0.1399451,0.00911212,-0.1487377,0.7411016,0.6499446,0.1667485,0.02314097,0.1254441,0.003839731,0.2465736,0.1779927,0.7186744,0.6422532,-0.1983344,,,,,,,,0.6527866,0.9692082,-0.8546564,-0.1059822,0.9115633,0.2611836,0.2993381,0.5703868,0.9558777,-0.8627265,-0.1145712,0.9264058,0.2227629,0.2811093,True,True,work_desk_base.001,True,True,work_desk_base.001,None
1768994577600,92.26039,0.1399437,0.009072065,-0.1487816,0.7410998,0.6499642,0.1666788,0.02314762,0.1254438,0.003840923,0.2465653,0.1779623,0.7186741,0.6422526,-0.198365,,,,,,,,0.6557347,0.9688506,-0.8547148,-0.1066896,0.9108014,0.2605062,0.3019847,0.5711123,0.9558839,-0.8621954,-0.115083,0.9259759,0.2225111,0.2825125,True,True,work_desk_base.001,True,True,work_desk_base.001,None
1768994577611,92.27126,0.1399868,0.00912714,-0.1488995,0.7411235,0.6499355,0.1666902,0.02311485,0.125579,0.003865242,0.246445,0.1780021,0.718674,0.6422551,-0.1983213,,,,,,,,0.658548,0.9683558,-0.8546807,-0.1075917,0.9100052,0.2599854,0.3045032,0.5718282,0.9558856,-0.8616329,-0.1155985,0.925509,0.2223386,0.2839644,True,True,work_desk_base.001,True,True,work_desk_base.001,None
1768994577622,92.28237,0.1399947,0.00915432,-0.1488989,0.7411092,0.64994,0.1667301,0.02315845,0.1255957,0.003865719,0.2464251,0.1779882,0.7186898,0.6422361,-0.1983383,,,,,,,,0.6616725,0.9682435,-0.8546467,-0.108951,0.9090068,0.2599422,0.3070283,0.5725347,0.9558535,-0.8610494,-0.1158091,0.9250368,0.2224254,0.2853458,True,True,work_desk_base.001,True,True,work_desk_base.001,None
1768994577633,92.29379,0.1399851,0.009020567,-0.148893,0.7411134,0.6499255,0.1667821,0.02305806,0.1255331,0.003831863,0.246444,0.1779738,0.7186944,0.6422492,-0.1982919,,,,,,,,0.6647872,0.9682617,-0.8546199,-0.1105383,0.9079324,0.2603395,0.3092951,0.5732394,0.9559134,-0.8604229,-0.116335,0.9244788,0.2225505,0.2868387,True,True,work_desk_base.001,True,True,work_desk_base.001,None
1768994577646,92.30574,0.1399637,0.009046793,-0.1488653,0.7411087,0.6499451,0.1667363,0.02298584,0.1256034,0.003821373,0.2465234,0.1780489,0.7186866,0.6422392,-0.1982852,,,,,,,,0.6680447,0.968365,-0.8545907,-0.1125125,0.906771,0.2611105,0.3113336,0.5740665,0.9560008,-0.8597189,-0.1171289,0.9238343,0.2224879,0.2886353,True,True,work_desk_base.001,True,True,work_desk_base.001,None
1768994577656,92.31614,0.1399952,0.009047747,-0.1488522,0.7411551,0.6498898,0.1667463,0.02298065,0.1256211,0.003803968,0.2465152,0.1780508,0.7186658,0.642258,-0.1982983,,,,,,,,0.6710719,0.9688781,-0.8545873,-0.1148046,0.9054844,0.2623926,0.3131583,0.5748919,0.9560077,-0.8590825,-0.1176318,0.9233366,0.2221527,0.2902767,True,True,work_desk_base.001,True,True,work_desk_base.001,None
1768994577667,92.32676,0.1400049,0.00900507,-0.1488199,0.7411239,0.6499348,0.1667198,0.02290811,0.125592,0.00379324,0.246521,0.1780142,0.718708,0.64222,-0.1983009,,,,,,,,0.6742324,0.9689798,-0.8545616,-0.1177164,0.9043205,0.2628948,0.3150139,0.575682,0.955882,-0.8584014,-0.1178109,0.9228901,0.2218924,0.2918187,True,True,work_desk_base.001,True,True,work_desk_base.001,None
1768994577678,92.33825,0.1400241,0.009031773,-0.1487984,0.7411649,0.6498972,0.1666822,0.02292216,0.125603,0.00378108,0.2465148,0.1780143,0.7186946,0.6422362,-0.1982968,,,,,,,,0.6775533,0.968835,-0.8546335,-0.1218373,0.9032725,0.2621305,0.3170837,0.5765125,0.9558612,-0.8577625,-0.1178867,0.9224918,0.2216914,0.2931972,True,True,work_desk_base.001,True,True,work_desk_base.001,None
1768994577689,92.34924,0.1400774,0.00905323,-0.1487181,0.741152,0.6498977,0.1667434,0.02287871,0.1256047,0.003849983,0.2465975,0.1780267,0.7187113,0.6422058,-0.198324,,,,,,,,0.6809624,0.9685707,-0.8546596,-0.124791,0.9022455,0.2617251,0.319187,0.5772101,0.9558746,-0.8570465,-0.11867,0.9219253,0.2218512,0.294539,True,True,work_desk_base.001,True,True,work_desk_base.001,None
1768994577701,92.36115,0.1400504,0.009087324,-0.1487164,0.7411186,0.6499202,0.1668,0.02290696,0.1256195,0.003872156,0.2465964,0.178025,0.7186891,0.6422207,-0.1983576,,,,,,,,0.6845309,0.9682035,-0.8548005,-0.1273354,0.9012693,0.2606977,0.3217704,0.5779201,0.9558674,-0.8564424,-0.1194992,0.9213914,0.2217219,0.2959684,True,True,work_desk_base.001,True,True,work_desk_base.001,None
1768994577711,92.37135,0.1400536,0.009061337,-0.1486636,0.7411553,0.6498972,0.1667351,0.02284959,0.125596,0.003899574,0.2467136,0.1780019,0.7186556,0.6422641,-0.1983593,,,,,,,,0.6880599,0.967822,-0.8547962,-0.1295782,0.9001272,0.2598045,0.3247803,0.578781,0.9556408,-0.8557704,-0.1198423,0.9210036,0.2214501,0.2972374,True,True,work_desk_base.001,True,True,work_desk_base.001,None
1768994577722,92.3824,0.1401,0.009008646,-0.1486639,0.7411668,0.6498713,0.1667836,0.0228533,0.1256028,0.003908873,0.2467262,0.1780042,0.7186736,0.6422444,-0.1983556,,,,,,,,0.6916548,0.9672054,-0.8549373,-0.1320552,0.8989994,0.2596531,0.3270197,0.5795647,0.9554778,-0.8552586,-0.1200373,0.9207446,0.2209722,0.2983148,True,True,work_desk_base.001,True,True,work_desk_base.001,None
1768994577733,92.39378,0.1400337,0.008946419,-0.1487156,0.7411364,0.6499112,0.1667616,0.02286503,0.1254424,0.003863811,0.2466689,0.1779943,0.7186764,0.6422362,-0.1983809,,,,,,,,0.6979049,0.9655621,-0.8510455,-0.1328028,0.8979244,0.258075,0.3308964,0.5804173,0.9552722,-0.8548821,-0.1204712,0.9205981,0.2200895,0.2992432,True,True,work_desk_base.001,True,True,work_desk_base.001,None
1768994577745,92.40508,0.1401037,0.009005308,-0.1487296,0.7411512,0.6498896,0.1667808,0.02286174,0.1254201,0.003873348,0.2466682,0.1780102,0.718689,0.6422369,-0.1983186,,,,,,,,0.7018996,0.9650835,-0.8511979,-0.1341581,0.8965602,0.2568893,0.3349468,0.581091,0.9551502,-0.8546717,-0.1216243,0.9204226,0.2193684,0.2998455,True,True,work_desk_base.001,True,True,work_desk_base.001,None
1768994577755,92.41585,0.1401013,0.008911133,-0.1488632,0.7411529,0.6498981,0.166731,0.02292579,0.1254001,0.003858805,0.2464363,0.1779764,0.7187478,0.642175,-0.1983366,,,,,,,,0.7056648,0.9649662,-0.8513493,-0.1364631,0.8950745,0.256016,0.3386373,0.5817264,0.9550906,-0.85434,-0.122581,0.9202727,0.2188249,0.3003127,True,True,work_desk_base.001,True,True,work_desk_base.001,None
1768994577766,92.42667,0.1401711,0.008997917,-0.148928,0.7411585,0.6498942,0.1667196,0.02293935,0.1254789,0.00374341,0.2464738,0.178025,0.7186792,0.6422324,-0.1983555,,,,,,,,0.7091237,0.9649431,-0.8513171,-0.1389866,0.8938038,0.2557501,0.341159,0.5823463,0.9550697,-0.8540953,-0.1231528,0.9202797,0.2184852,0.3003045,True,True,work_desk_base.001,True,True,work_desk_base.001,None
1768994577777,92.43791,0.1401831,0.00901556,-0.1489496,0.7411932,0.6498474,0.166753,0.02290253,0.1254743,0.003724575,0.2464616,0.1780159,0.7186943,0.6422252,-0.1983324,,,,,,,,0.7125796,0.9649963,-0.8513781,-0.1416028,0.8927538,0.2555186,0.3430006,0.5829631,0.9550847,-0.8537484,-0.1236902,0.9201303,0.2181695,0.3007709,True,True,work_desk_base.001,True,True,work_desk_base.001,None
1768994577789,92.44889,0.1401261,0.008963823,-0.1488684,0.7411616,0.6498873,0.1667444,0.0228533,0.125424,0.003717899,0.2465376,0.1779873,0.7187187,0.6421957,-0.198365,,,,,,,,0.7156013,0.9651939,-0.8515877,-0.1448574,0.8916318,0.2552166,0.3447804,0.5835255,0.954942,-0.8533351,-0.1240929,0.9200176,0.2180976,0.3010018,True,True,work_desk_base.001,True,True,work_desk_base.001,None
1768994577800,92.46066,0.1401107,0.009027481,-0.1488647,0.74116,0.6498804,0.1667771,0.02286322,0.1254201,0.003686428,0.2465312,0.1780004,0.7187172,0.6422065,-0.1983238,,,,,,,,0.7184576,0.9656007,-0.8515446,-0.1492493,0.8903602,0.2555737,0.3459269,0.5840617,0.9551321,-0.8530141,-0.124893,0.9197516,0.2181115,0.301473,True,True,work_desk_base.001,True,True,work_desk_base.001,None
1768994577810,92.47154,0.1400406,0.009119272,-0.1488878,0.7411312,0.6499118,0.1667876,0.0228295,0.1255542,0.003815174,0.2465771,0.1780262,0.7187306,0.6421872,-0.1983144,,,,,,,,0.7209696,0.9659041,-0.8515438,-0.1524915,0.8894159,0.2557223,0.3468314,0.5846616,0.9553393,-0.8527371,-0.1256674,0.9195191,0.2180973,0.3018709,True,True,work_desk_base.001,True,True,work_desk_base.001,None
1768994577822,92.48224,0.1400326,0.009126425,-0.1488993,0.7411812,0.649852,0.1667984,0.0228273,0.1255618,0.003804684,0.2465819,0.1780109,0.7187168,0.6422054,-0.1983194,,,,,,,,0.7235838,0.9663457,-0.8517613,-0.1551065,0.8884788,0.2555351,0.3482089,0.585147,0.9555389,-0.8525102,-0.1264008,0.9193195,0.218014,0.3022326,True,True,work_desk_base.001,True,True,work_desk_base.001,None
1768994577833,92.49397,0.1400826,0.009041309,-0.1488166,0.7412086,0.6498289,0.1667694,0.02281043,0.1256033,0.003790855,0.2465475,0.1780269,0.7187481,0.6421755,-0.1982884,,,,,,,,0.7263645,0.9664946,-0.8518539,-0.1571892,0.8876455,0.2550189,0.3497746,0.5857643,0.9555938,-0.8521956,-0.1271435,0.9190935,0.217904,0.3026871,True,True,work_desk_base.001,True,True,work_desk_base.001,None
1768994577844,92.50471,0.1401169,0.009011507,-0.14882,0.74118,0.649846,0.1668242,0.02285215,0.1255691,0.003787994,0.2465313,0.1780247,0.7187285,0.642184,-0.1983336,,,,,,,,0.7286688,0.9667885,-0.8516949,-0.1582538,0.8867789,0.2549287,0.3515541,0.586316,0.9557554,-0.8519011,-0.1278325,0.9188756,0.217909,0.3030546,True,True,work_desk_base.001,True,True,work_desk_base.001,None
1768994577856,92.51633,0.1401514,0.009145737,-0.1486985,0.7411849,0.6498511,0.1667885,0.02280442,0.1256436,0.003916264,0.2466971,0.1780462,0.7187247,0.6421759,-0.1983546,,,,,,,,0.7311398,0.9671432,-0.8514265,-0.1592932,0.8857567,0.2550303,0.3535823,0.5869209,0.9559397,-0.8516762,-0.1285017,0.9186125,0.217922,0.3035597,True,True,work_desk_base.001,True,True,work_desk_base.001,None
